TIME,BRD_ELFB_AVG,BRD_ELTR_AVG,BRD_FLOWS_AVG,BRD_QSPILL_AVG,BRD_QDISCH_AVG,BRD_MWG1_AVG,BRD_MWG2_AVG,BRD_MWG3_AVG,BRD_MWG4_AVG,BRD_FLOWSS_AVG,BRX_MWG1_AVG,BRX_FLOW_AVG,BRX_ELTRF_AVG,BRX_FLOWSS_AVG
2017-09-30  23:00,1476.25,1372.74,4222.45,0.00,10750.75,0.00,0.00,31.76,0.00,4206.59,48.55,6528.30,1372.52,6508.05
2017-09-30  22:00,1476.16,1372.71,4174.82,0.00,10673.92,0.00,0.00,31.31,0.00,4158.72,48.26,6499.10,1372.50,6479.20
2017-09-30  21:00,1476.06,1372.71,4194.67,0.00,10695.67,0.00,0.00,31.37,0.00,4179.22,48.23,6501.00,1372.50,6481.65
2017-09-30  20:00,1475.96,1372.76,4240.10,0.00,10740.47,0.00,0.00,31.84,0.00,4225.86,48.20,6500.37,1372.52,6481.71
2017-09-30  19:00,1475.86,1372.77,4253.62,0.00,10769.96,0.00,0.00,31.94,0.00,4240.01,48.33,6516.96,1372.51,6498.81
2017-09-30  18:00,1475.75,1372.75,4239.19,0.00,10748.31,0.00,0.00,31.78,0.00,4225.81,48.21,6509.12,1372.51,6491.50
2017-09-30  17:00,1475.65,1372.77,4251.95,0.00,10745.58,0.00,0.00,31.93,0.00,4239.26,47.99,6493.62,1372.51,6476.55
2017-09-30  16:00,1475.55,1372.75,4208.06,0.00,10719.69,0.00,0.00,31.43,0.00,4195.32,48.10,6511.63,1372.49,6495.05
2017-09-30  15:00,1475.44,1372.72,4166.12,0.00,10652.23,0.00,0.00,30.98,0.00,4153.38,47.86,6486.11,1372.46,6469.94
2017-09-30  14:00,1475.36,1372.75,4183.39,0.00,10663.67,0.00,0.00,31.15,0.00,4171.33,47.81,6480.28,1372.50,6464.75
2017-09-30  13:00,1475.27,1372.74,4172.87,0.00,10662.31,0.00,0.00,31.00,0.00,4161.11,47.81,6489.44,1372.51,6474.43
2017-09-30  12:00,1475.18,1372.76,4139.25,0.00,10609.53,0.00,0.00,30.66,0.00,4127.79,47.63,6470.28,1372.51,6455.80
2017-09-30  11:00,1475.07,1372.85,4173.24,0.00,10592.89,0.00,0.00,30.94,0.00,4162.97,47.07,6419.65,1372.61,6406.29
2017-09-30  10:00,1474.95,1373.00,4186.47,0.00,10651.92,0.00,0.00,30.97,0.00,4177.52,47.37,6465.44,1372.77,6453.64
2017-09-30  9:00,1474.85,1373.12,4139.31,0.00,10572.50,0.00,0.00,30.49,0.00,4131.17,47.02,6433.19,1372.90,6422.65
2017-09-30  8:00,1474.73,1373.19,4140.84,0.00,10404.37,0.00,0.00,30.48,0.00,4133.60,45.40,6263.53,1372.99,6254.03
2017-09-30  7:00,1474.59,1373.22,4184.33,0.00,10491.03,0.00,0.00,30.77,0.00,4178.07,45.75,6306.70,1373.03,6298.25
2017-09-30  6:00,1474.69,1373.26,4199.16,0.00,10549.64,0.00,0.00,30.90,0.00,4192.68,46.11,6350.47,1373.03,6341.48
2017-09-30  5:00,1474.94,1373.23,4185.37,0.00,10520.87,0.00,0.00,30.89,0.00,4177.50,46.13,6335.50,1373.03,6325.05
2017-09-30  4:00,1475.20,1373.25,4184.50,0.00,10551.23,0.00,0.00,30.97,0.00,4175.53,46.53,6366.73,1373.03,6354.85
2017-09-30  3:00,1475.46,1373.24,4189.74,0.00,10565.32,0.00,0.00,31.07,0.00,4179.56,46.67,6375.59,1373.04,6362.30
2017-09-30  2:00,1475.71,1373.23,4182.56,0.00,10526.52,0.00,0.00,31.09,0.00,4171.07,46.50,6343.96,1373.03,6329.21
2017-09-30  1:00,1475.98,1373.23,4169.11,0.00,10556.89,0.00,0.00,31.01,0.00,4156.32,46.99,6387.78,1373.03,6371.59
2017-09-30  0:00,1476.26,1373.24,4167.75,0.00,10556.23,0.00,0.00,31.09,0.00,4153.65,47.12,6388.48,1373.04,6370.84
2017-09-29  23:00,1476.54,1373.24,4191.38,0.00,10558.63,0.00,0.00,31.37,0.00,4176.14,47.05,6367.25,1373.04,6347.93
2017-09-29  22:00,1476.55,1373.25,4215.54,0.00,10612.46,0.00,0.00,31.67,0.00,4200.55,47.32,6396.92,1373.05,6377.69
2017-09-29  21:00,1476.49,1373.22,4176.98,0.00,10521.43,0.00,0.00,31.19,0.00,4161.78,46.82,6344.45,1373.02,6325.34
2017-09-29  20:00,1476.41,1373.24,4198.58,0.00,10516.24,0.00,0.00,31.44,0.00,4184.04,46.54,6317.66,1373.01,6298.90
2017-09-29  19:00,1476.30,1373.26,4230.15,0.00,10581.37,0.00,0.00,31.64,0.00,4216.53,46.79,6351.22,1373.02,6333.20
2017-09-29  18:00,1476.19,1373.31,4222.37,0.00,10584.21,0.00,0.00,31.56,0.00,4209.38,46.83,6361.84,1373.05,6344.54
2017-09-29  17:00,1476.12,1373.39,4237.20,0.00,10636.33,0.00,0.00,31.65,0.00,4225.03,47.08,6399.12,1373.08,6382.47
2017-09-29  16:00,1476.06,1373.37,4180.39,0.00,10542.02,0.00,0.00,31.11,0.00,4167.95,46.76,6361.63,1373.12,6345.51
